username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Tony Cox,2472528044,"Seattle, WA",2023-01-21 22:22:52+00:00,"It’s easy to dunk on companies for impersonal communication in a mass layoff, but would it really be better to do 1… https://t.co/6clxHXUK4A",0,Twitter for iPhone,
Eddie-web3,117593163,Seattle,2023-01-21 22:12:47+00:00,"@unusual_whales many more companies like $META $COIN $CRM $W $CSCO twitter etc getting in the layoff game
https://t.co/dsKppyn91z",0,Twitter Web App,
Andrew Rennhack,224479382,"Seattle, WA",2023-01-21 22:01:02+00:00,"Classic trimming the fat. It’s a shame the layoff headline articles never do this math. 

OTOH, trimming the fat al… https://t.co/KnioCl1YVa",0,Twitter for iPhone,
Charlie Stanley,1893721057,"Seattle, WA",2023-01-21 21:24:55+00:00,"If you’ve found yourself of the receiving end of layoff, and want to chat with someone who has experienced this rec… https://t.co/PTsBkPauc2",1,Twitter for iPad,
Jessica Shea,34771668,"Seattle, Washington",2023-01-21 21:23:42+00:00,"UPDATE: I smelled my pits, and I definitely haven’t showered. 🙈

I’ve been waking up at 8AM and immediately tacklin… https://t.co/v5nDSRSXJJ",0,Twitter Web App,
Kloud Crunch,1368022832425230346,"Seattle, WA",2023-01-21 19:16:02+00:00,"Microsoft joined the layoff parade. Did it really have to?

https://t.co/4CsZcS96sS https://t.co/ata9bwYIaK",0,Buffer,
Jenn Taylor-Skinner,897218253826555905,Seattle,2023-01-21 18:56:51+00:00,"I’ve only been through one big tech layoff — MSFT years ago. You met with your manager 1:1, they gave you the news,… https://t.co/ksEKs2uber",2,Twitter for iPhone,
R Haynes-Peterson,14066068,"Seattle, WA",2023-01-21 18:32:50+00:00,@runstaverun Agreed &amp; no. The Vox layoffs (particularly because they include  senior staff) are huge &amp; not to be ig… https://t.co/vhZyW1yGwS,0,Twitter Web App,
Matt Lessnau,385755237,"Seattle, Washington",2023-01-21 13:56:43+00:00,"@odannyboy @andybudd Microsoft hires 40,000 people in 2022 and no one bats an eye. They layoff 10,000 and everyone loses their minds...",0,Twitter for Android,
Gustovow 🇧🇷➡️🇺🇸,2829083400,"Seattle, WA",2023-01-21 08:06:54+00:00,"@Scobleizer The real problem is when you are in a Visa, you can't afford a layoff. To make things worse, you have 6… https://t.co/02vp0AKI8n",0,Twitter for Android,
Tadeu Banzato,8112172,Earth,2023-01-21 07:39:23+00:00,"Being an immigrant and passing through this before, I can tell you that this is one of the worst situation a family… https://t.co/vPgM8OMmTc",0,Twitter for iPhone,
Tadeu Banzato,8112172,Earth,2023-01-21 06:31:05+00:00,@albromani @adampellegrini Do you really believe so? Maturity level for this companies or their platform are “coinc… https://t.co/edtsCZKb7Y,0,Twitter for iPhone,
Tadeu Banzato,8112172,Earth,2023-01-21 06:17:25+00:00,@she_ide @ColtonOrtolf But still there is some level of universal health care. Which makes the system much mor huma… https://t.co/FAsmM2P1tv,0,Twitter for iPhone,
"HsuanHua Chang, MBA",16198072,"Seattle, WA",2023-01-21 03:44:15+00:00,"Today, 1/20/23, Google announced to cut 12,000 employees. Two days ago, Microsoft also announced a 10,000 employees… https://t.co/rgJp69jlYf",0,LinkedIn,
